Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.76875,0.77807,0.77784,0.8219299999999998,0.82114,0.7861,0.77866,0.77897,0.7811600000000001,0.7815000000000001
cardio,1831,21,9.6122,0.56917,0.8074399999999999,0.59777,0.8351,0.92363,0.7236299999999999,0.5735699999999999,0.8247,0.9348400000000001,0.95038
glass,214,9,4.2056,0.7950699999999999,0.8615,0.8505,0.73887,0.7447100000000001,0.85076,0.8644000000000001,0.7837399999999999,0.63236,0.6747
ionosphere,351,33,35.8974,0.9247599999999998,0.8993,0.8718299999999999,0.56144,0.8504999999999999,0.92674,0.8753499999999999,0.9553499999999999,0.8419199999999998,0.7962
letter,1600,32,6.25,0.8782500000000001,0.78159,0.86352,0.5926800000000001,0.6245200000000001,0.8765599999999999,0.8593500000000001,0.80892,0.61182,0.5283
lympho,148,18,4.0541,0.9109700000000001,0.9631299999999999,0.9767300000000001,0.9956900000000001,0.99292,0.9744999999999999,0.9770900000000001,0.9158999999999999,0.9758699999999999,0.98467
mnist,7603,100,9.2069,0.7815300000000001,0.8493299999999999,0.71919,0.5741900000000001,0.80236,0.84813,0.7160799999999998,0.8670800000000002,0.85289,0.85266
musk,3062,166,3.1679,0.18444,1.0,0.5203099999999999,0.9999800000000001,0.9991200000000002,0.79857,0.52867,0.9999800000000001,1.0,0.9999500000000001
optdigits,5216,64,2.8758,0.46674000000000004,0.77064,0.44704999999999995,0.8732499999999999,0.7067699999999999,0.37076000000000003,0.45004,0.39095,0.49971999999999994,0.50856
