Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.38076000000000004,0.43582,0.41567,0.51108,0.48983,0.44636999999999993,0.4334300000000001,0.39952,0.4614,0.46129
cardio,1831,21,9.6122,0.23742999999999997,0.42865000000000003,0.15941,0.44761000000000006,0.4999700000000001,0.33227,0.15409,0.44073,0.50112,0.609
glass,214,9,4.2056,0.17023,0.07261999999999999,0.18095,0.0,0.07261999999999999,0.07261999999999999,0.14762,0.0,0.17262,0.07261999999999999
ionosphere,351,33,35.8974,0.84415,0.78203,0.7080000000000001,0.32951,0.6435000000000001,0.86021,0.7063400000000001,0.8810099999999998,0.7000499999999998,0.5728599999999999
letter,1600,32,6.25,0.38009,0.22693,0.37084,0.07152,0.09319000000000001,0.33117,0.36411,0.19335999999999998,0.15096,0.08746999999999999
lympho,148,18,4.0541,0.44833999999999996,0.75167,0.75167,0.8466699999999999,0.82667,0.75167,0.75167,0.57833,0.75167,0.75167
mnist,7603,100,9.2069,0.35550000000000004,0.40582,0.33077,0.11882000000000001,0.29383,0.42042999999999997,0.33429000000000003,0.34310000000000007,0.39619,0.38460999999999995
musk,3062,166,3.1679,0.050749999999999997,1.0,0.19141,0.9783199999999999,0.94984,0.2733,0.16954999999999998,0.99529,1.0,0.97994
